p1,p2,p3,p4,Recall1,Recall2,r1,r2,r3,r4,r5,r6,rl1,rl2,rl3,rl4,rl5,rl6,d1,d2,d3,d4,d5,d6,t1,t2,t3,t4,t5,t6,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,a22,a23,a24,a25,a26,a27,a28,a29,bp1,bp2,bp3,bp4,bp5,bp6,u1,u2,u3,u4,u5,u6,e11,e12,e13,e14,e10,e21,e22,e23,e24,e20,e31,e32,e33,e34,e30,e41,e42,e43,e44,e40,e51,e52,e53,e54,e50,e61,e62,e63,e64,e60,M1,M2,M3,M4,M5,SM0,SM1,SM2,SM3,SM4,SM5,SM6,attend,sth,Gender,zip,yob,Income,married,kids,residence,retake,Sex,single_married,homeowner,children,Social_Channels,Passion,OcshnerBE,FAC1_1,FAC2_1,FAC3_1,age,HHIncome,neighborhood_income,neighborhood_age,neighborhood_edu,neighborhood_pop
90,90,90,50,1,1,9,10,9,91,10,79,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,100,51,50,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,28,30,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,14,17,1,0,0,0,0,0,0,0,0,2,76040,1959,0,1,0,1,1,2,1,1,0,0,80,77.6,0.8377309379552296,0.2866880391038516,-1.3983942767149549,64,4,65698,33.6,4234,30708
97,80,99,98,1,1,90,96,97,90,7,67,99,20,86,93,7,52,99,13,13,98,12,11,99,34,79,99,18,48,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,98,30,72,98,8,37,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17,17,17,17,8,0,1,1,0,0,1,0,0,0,1,70002,1953,0,1,0,1,1,1,1,1,0,3,93.5,95.6,1.2120833425781985,0.6071160503554316,-1.6543284399800495,70,4,66152,38.6,4681,19195
100,90,100,85,1,1,5,5,5,100,5,5,2,2,2,100,2,2,2,2,2,100,2,2,2,2,2,100,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,100,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,2,17,6,2,0,1,0,0,0,0,0,0,0,2,72015,1959,0,1,0,1,1,2,1,1,0,1,93.75,100,1.586151872110771,-1.2193066752389845,-1.2386647304657072,64,4,63825,37.9,2677,27298
100,96,93,100,1,1,100,64,57,100,82,86,31,23,24,19,6,5,94,23,11,100,6,29,99,53,53,91,55,56,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,65,62,62,84,67,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,9,17,17,17,0,1,1,1,1,0,1,0,0,2,18644,1985,0,5,1,1,2,2,0,1,1,5,97.25,78.8,0.6026828801719194,0.7784879402098286,-0.6184252788920501,38,4,73750,47.5,1263,7506
85,86,83,95,1,1,93,93,93,93,93,93,90,90,90,96,96,96,94,93,96,95,95,95,93,93,93,93,93,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,72,72,72,73,73,73,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,17,17,17,17,17,0,1,0,0,0,0,0,2,0,2,77067,1966,0,5,2,2,1,2,0,0,2,1,87.25,90,0.29117035751588805,1.6396566356848847,1.091798350558789,57,4,49682,30.9,1336,32405
50,25,31,7,1,0,6,7,6,20,19,19,0,0,0,5,5,6,0,0,0,0,0,0,0,2,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,9,8,9,1,1,0,0,0,0,0,0,0,0,1,70456,1969,0,1,0,1,1,1,1,1,0,0,28.25,6.2,-1.668413233487793,-0.5922514678734074,-0.6338518289740768,54,4,44698,36.2,148,2389
92,92,91,90,1,0,50,50,50,50,99,83,50,47,50,48,97,79,50,40,40,49,100,79,51,42,41,49,100,81,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,50,50,30,100,71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,14,10,10,16,0,0,1,1,1,0,0,0,2,0,2,70127,1969,0,1,999,4,1,2,1,1,0,3,91.25,45.2,-1.2451987250395378,1.183553156938897,1.9878643026738112,54,4,37401,35.2,2359,26153
67,84,81,74,1,1,71,81,69,64,63,83,79,55,81,56,54,60,77,66,73,64,74,32,65,45,30,18,22,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,46,60,78,47,41,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12,7,0,14,12,1,0,0,0,0,0,0,0,0,1,19046,1962,0,1,0,1,1,1,1,1,0,0,76.5,56,-0.45082509761152745,0.23466083308006833,0.48905336652079695,61,4,112320,46.4,4493,18994
100,95,95,82,1,1,94,88,82,99,71,80,13,13,8,99,62,82,99,68,82,99,77,86,91,75,78,98,96,99,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,97,79,71,98,93,96,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,0,0,17,17,0,0,0,0,0,1,0,0,0,1,30180,1960,0,3,999,1,2,1,0,1,0,1,93,98.6,0.6619851386292976,1.7760300052975877,0.5229929372246802,63,4,87582,35.5,4189,42481
88,79,80,75,1,1,50,50,50,80,80,80,0,0,0,5,97,90,30,30,30,84,88,85,0,0,0,70,80,80,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,30,30,30,61,80,80,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,14,1,10,12,1,0,0,1,0,0,0,0,2,1,1,70001,1974,0,3,1,2,4,1,0,0,1,1,80.5,60,-0.5697916742542951,1.645897199212773,0.9968874394185347,49,4,68702,40.2,6712,40071
